2.000000	0.486894
2.250000	0.490314
2.500000	0.492161
2.750000	0.485584
3.000000	0.484608
3.250000	0.473577
3.500000	0.481967
3.750000	0.480170
4.000000	0.480707
4.250000	0.483075
4.500000	0.478012
4.750000	0.481314
5.000000	0.483847
5.250000	0.477669
5.500000	0.477087
5.750000	0.483492
6.000000	0.481716
6.250000	0.476607
6.500000	0.480872
6.750000	0.479887
7.000000	0.483028
7.250000	0.482543
7.500000	0.481092
7.750000	0.478308
8.000000	0.476685
8.250000	0.481094
8.500000	0.481057
8.750000	0.480865
9.000000	0.479952
9.250000	0.479004
9.500000	0.480702
9.750000	0.479147
10.000000	0.475790
10.250000	0.481874
10.500000	0.480389
10.750000	0.482536
11.000000	0.480402
11.250000	0.479871
11.500000	0.480932
11.750000	0.472989
12.000000	0.481762
12.250000	0.476009
12.500000	0.448715
12.750000	0.482826
13.000000	0.480405
13.250000	0.479545
13.500000	0.474941
13.750000	0.480354
14.000000	0.482651
14.250000	0.480585
14.500000	0.481692
14.750000	0.483377
15.000000	0.480625
15.250000	0.476858
15.500000	0.479627
15.750000	0.481452
16.000000	0.480429
